completion_time,trial,condition,distance,shift_x,shift_y,start_x,start_y,cursor_endpoint_x,cursor_endpoint_y,target_x,target_y,target_to_endpoint_x,target_to_endpoint_y
417.0,102,239,262,-105,-105,375,435,640,437,637,435,3,2
250.0,103,90,69,105,-105,585,435,665,439,654,435,11,4
433.0,104,307,462,-105,105,375,645,823,644,837,645,-14,-1
316.0,105,57,33,105,-105,585,435,613,436,618,435,-5,1
552.0,106,272,355,-105,-105,375,435,662,439,730,435,-68,4
884.0,107,322,583,105,105,585,645,987,659,1168,645,-181,14
434.0,108,113,69,-105,-105,375,435,454,434,444,435,10,-1
484.0,109,109,69,-105,105,375,645,436,651,444,645,-8,6
435.0,110,110,69,-105,-105,375,435,444,435,444,435,0,0
685.0,111,161,183,105,105,585,645,794,650,768,645,26,5
786.0,112,351,583,-105,-105,375,435,879,421,958,435,-79,-14
134.0,113,55,33,105,-105,585,435,623,432,618,435,5,-3
